Country code,Country name,2050,2049,2048,2047,2046,2045,2044,2043,2042,2041,2040,2039,2038,2037,2036,2035,2034,2033,2032,2031,2030,2029,2028,2027,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
ABW,ARUBA,58.01,,,,,56.035,,,,,54.041,,,,,52.105,,,,,50.447,,,,,49.084,,,,,48.018,,,,,47.249,,,,,46.777,,,,,46.6,,,,,46.703,,,,,48.761,,,,,50.319,,,,,50.395,,,,,50.472,,,,,50.548,,,,,50.624,,,,,50.7,,,,,50.776,,,,,50.852,,,,,50.928
AFG,AFGHANISTAN,43.412,,,,,40.208,,,,,37.085,,,,,34.067,,,,,31.23,,,,,28.748,,,,,26.607,,,,,24.78,,,,,23.239,,,,,21.882,,,,,20.583,,,,,19.341,,,,,18.157,,,,,16.917,,,,,15.675,,,,,13.278,,,,,11.031,,,,,9.353,,,,,7.993,,,,,6.815,,,,,5.8
AGO,ANGOLA,77.961,,,,,76.167,,,,,74.275,,,,,72.288,,,,,70.209,,,,,68.025,,,,,65.403,,,,,62.197,,,,,58.379,,,,,53.943,,,,,48.987,,,,,43.988,,,,,37.144,,,,,30.338,,,,,24.298,,,,,19.128,,,,,14.957,,,,,12.504,,,,,10.435,,,,,8.902,,,,,7.576
AIA,ANGUILLA,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0
ALB,ALBANIA,77.128,,,,,75.33,,,,,73.439,,,,,71.459,,,,,69.069,,,,,66.005,,,,,62.207,,,,,57.635,,,,,52.322,,,,,46.804,,,,,41.741,,,,,38.911,,,,,36.428,,,,,35.083,,,,,33.762,,,,,32.712,,,,,31.74,,,,,31.23,,,,,30.705,,,,,26.864,,,,,20.528
AND,ANDORRA,84.197,,,,,83.367,,,,,82.503,,,,,81.603,,,,,81.076,,,,,81.549,,,,,82.966,,,,,85.147,,,,,87.817,,,,,90.295,,,,,92.395,,,,,93.661,,,,,94.712,,,,,95.159,,,,,92.064,,,,,87.252,,,,,80.155,,,,,70.445,,,,,58.45,,,,,48.568,,,,,38.8
ARE,UNITED ARAB EMIRATES,90.601,,,,,90.065,,,,,89.502,,,,,88.912,,,,,88.293,,,,,87.578,,,,,86.655,,,,,85.49,,,,,84.042,,,,,82.262,,,,,80.236,,,,,78.319,,,,,79.051,,,,,79.804,,,,,80.71,,,,,79.615,,,,,77.701,,,,,75.661,,,,,73.5,,,,,64.572,,,,,54.5
ARG,ARGENTINA,95.315,,,,,95.076,,,,,94.824,,,,,94.561,,,,,94.285,,,,,93.996,,,,,93.616,,,,,93.078,,,,,92.349,,,,,91.382,,,,,90.125,,,,,88.654,,,,,86.984,,,,,85.038,,,,,82.887,,,,,80.969,,,,,78.88,,,,,76.369,,,,,73.611,,,,,69.633,,,,,65.339
ARM,ARMENIA,73.899,,,,,72.358,,,,,70.762,,,,,69.114,,,,,67.431,,,,,66.006,,,,,64.96,,,,,64.31,,,,,64.066,,,,,64.184,,,,,64.666,,,,,66.057,,,,,67.421,,,,,67.09,,,,,66.05,,,,,63.611,,,,,59.864,,,,,55.622,,,,,51.275,,,,,45.951,,,,,40.339
ASM,AMERICAN SAMOA,96.84,,,,,96.575,,,,,96.288,,,,,95.978,,,,,95.643,,,,,95.282,,,,,94.837,,,,,94.107,,,,,92.978,,,,,91.283,,,,,88.766,,,,,85.28,,,,,80.948,,,,,77.762,,,,,74.33,,,,,72.354,,,,,70.384,,,,,68.334,,,,,66.211,,,,,64.02,,,,,61.769
ATG,ANTIGUA AND BARBUDA,41.097,,,,,39.19,,,,,37.316,,,,,35.479,,,,,33.683,,,,,31.934,,,,,30.52,,,,,29.845,,,,,29.882,,,,,30.633,,,,,32.127,,,,,33.961,,,,,35.426,,,,,35.021,,,,,34.618,,,,,34.217,,,,,33.819,,,,,36.61,,,,,39.656,,,,,34.889,,,,,30.065
AUS,AUSTRALIA,92.882,,,,,92.517,,,,,92.136,,,,,91.737,,,,,91.32,,,,,90.884,,,,,90.381,,,,,89.774,,,,,89.046,,,,,88.182,,,,,87.165,,,,,86.106,,,,,85.4,,,,,85.46,,,,,85.76,,,,,85.921,,,,,85.265,,,,,83.485,,,,,81.529,,,,,79.357,,,,,77.003
AUT,AUSTRIA,78.225,,,,,76.887,,,,,75.493,,,,,74.043,,,,,72.538,,,,,71.076,,,,,69.732,,,,,68.521,,,,,67.454,,,,,66.534,,,,,65.8,,,,,65.8,,,,,65.765,,,,,65.566,,,,,65.391,,,,,65.341,,,,,65.258,,,,,65.011,,,,,64.72,,,,,64.16,,,,,63.596
AZE,AZERBAIJAN,68.41,,,,,66.352,,,,,64.23,,,,,62.051,,,,,59.855,,,,,57.857,,,,,56.108,,,,,54.62,,,,,53.401,,,,,52.389,,,,,51.386,,,,,52.206,,,,,53.749,,,,,53.498,,,,,52.777,,,,,51.897,,,,,50.008,,,,,51.164,,,,,52.663,,,,,50.026,,,,,45.691
BDI,BURUNDI,27.94,,,,,25.022,,,,,22.314,,,,,19.822,,,,,17.549,,,,,15.508,,,,,13.688,,,,,12.072,,,,,10.642,,,,,9.375,,,,,8.246,,,,,7.211,,,,,6.271,,,,,5.221,,,,,4.339,,,,,3.218,,,,,2.382,,,,,2.211,,,,,2.038,,,,,1.877,,,,,1.728
BEL,BELGIUM,98.243,,,,,98.172,,,,,98.098,,,,,98.02,,,,,97.938,,,,,97.842,,,,,97.731,,,,,97.603,,,,,97.456,,,,,97.292,,,,,97.118,,,,,96.777,,,,,96.377,,,,,95.93,,,,,95.381,,,,,94.48,,,,,93.843,,,,,93.137,,,,,92.46,,,,,91.977,,,,,91.466
BEN,BENIN,66.67,,,,,64.24,,,,,61.736,,,,,59.167,,,,,56.494,,,,,53.651,,,,,50.65,,,,,47.511,,,,,44.258,,,,,41.003,,,,,38.333,,,,,36.758,,,,,34.485,,,,,30.796,,,,,27.339,,,,,21.904,,,,,16.691,,,,,12.519,,,,,9.275,,,,,6.804,,,,,4.957
BFA,BURKINA FASO,55.224,,,,,51.789,,,,,48.338,,,,,44.902,,,,,41.515,,,,,37.922,,,,,34.007,,,,,29.877,,,,,25.667,,,,,21.537,,,,,17.844,,,,,15.131,,,,,13.815,,,,,12.334,,,,,8.805,,,,,6.347,,,,,5.746,,,,,5.198,,,,,4.7,,,,,4.247,,,,,3.837
BGD,BANGLADESH,52.151,,,,,48.851,,,,,45.561,,,,,42.309,,,,,39.122,,,,,36.025,,,,,33.085,,,,,30.375,,,,,27.894,,,,,25.636,,,,,23.59,,,,,21.693,,,,,19.811,,,,,17.496,,,,,14.851,,,,,9.836,,,,,7.593,,,,,6.211,,,,,5.135,,,,,4.687,,,,,4.282
BGR,BULGARIA,85.245,,,,,84.293,,,,,83.293,,,,,82.242,,,,,81.04,,,,,79.516,,,,,77.624,,,,,75.312,,,,,72.524,,,,,70.179,,,,,68.899,,,,,67.782,,,,,66.377,,,,,64.59,,,,,62.1,,,,,57.562,,,,,52.3,,,,,45.755,,,,,37.1,,,,,32.213,,,,,27.583
BHR,BAHRAIN,92.804,,,,,92.315,,,,,91.796,,,,,91.245,,,,,90.661,,,,,90.042,,,,,89.444,,,,,88.964,,,,,88.618,,,,,88.419,,,,,88.372,,,,,88.388,,,,,88.14,,,,,87.155,,,,,86.101,,,,,84.975,,,,,83.775,,,,,82.5,,,,,82.32,,,,,75.528,,,,,64.4
BHS,BAHAMAS,90.567,,,,,89.904,,,,,89.201,,,,,88.454,,,,,87.663,,,,,86.826,,,,,85.944,,,,,85.023,,,,,84.064,,,,,83.068,,,,,82.035,,,,,80.961,,,,,79.838,,,,,76.674,,,,,73.102,,,,,69.999,,,,,66.725,,,,,63.281,,,,,59.654,,,,,55.895,,,,,52.068
BIH,BOSNIA AND HERZEGOWINA,68.947,,,,,66.511,,,,,63.984,,,,,61.377,,,,,58.704,,,,,55.978,,,,,53.215,,,,,50.433,,,,,47.733,,,,,45.26,,,,,43.021,,,,,41.018,,,,,39.249,,,,,37.589,,,,,35.543,,,,,31.288,,,,,27.201,,,,,22.817,,,,,19.04,,,,,16.173,,,,,13.665
BLR,BELARUS,85.156,,,,,84.243,,,,,83.285,,,,,82.28,,,,,81.195,,,,,79.912,,,,,78.405,,,,,76.648,,,,,74.615,,,,,72.354,,,,,69.973,,,,,67.926,,,,,65.981,,,,,61.833,,,,,56.498,,,,,50.614,,,,,44.01,,,,,38.127,,,,,32.401,,,,,28.853,,,,,26.234
BLZ,BELIZE,52.908,,,,,50.966,,,,,49.021,,,,,47.079,,,,,45.309,,,,,44.202,,,,,43.777,,,,,44.03,,,,,44.963,,,,,46.311,,,,,47.663,,,,,47.484,,,,,47.465,,,,,48.419,,,,,49.374,,,,,50.171,,,,,50.963,,,,,52.481,,,,,54.028,,,,,54.681,,,,,55.288
BMU,BERMUDA,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0
BOL,BOLIVIA,79.798,,,,,78.403,,,,,76.94,,,,,75.41,,,,,73.812,,,,,72.148,,,,,70.376,,,,,68.461,,,,,66.399,,,,,64.189,,,,,61.834,,,,,59.4,,,,,55.577,,,,,50.519,,,,,45.451,,,,,41.314,,,,,39.776,,,,,38.257,,,,,36.762,,,,,35.291,,,,,33.848
BRA,BRAZIL,90.687,,,,,90.186,,,,,89.661,,,,,89.111,,,,,88.491,,,,,87.727,,,,,86.796,,,,,85.676,,,,,84.335,,,,,82.834,,,,,81.192,,,,,77.61,,,,,73.922,,,,,69.862,,,,,65.468,,,,,60.789,,,,,55.909,,,,,51.037,,,,,46.139,,,,,41.057,,,,,36.16
BRB,BARBADOS,61.593,,,,,59.533,,,,,57.439,,,,,55.318,,,,,53.177,,,,,51.025,,,,,48.823,,,,,46.442,,,,,43.889,,,,,41.182,,,,,38.347,,,,,35.482,,,,,32.719,,,,,35.975,,,,,39.582,,,,,38.62,,,,,37.539,,,,,37.141,,,,,36.777,,,,,36.414,,,,,36.053
BRN,BRUNEI DARUSSALAM,85.874,,,,,84.886,,,,,83.842,,,,,82.74,,,,,81.579,,,,,80.359,,,,,78.995,,,,,77.415,,,,,75.597,,,,,73.518,,,,,71.164,,,,,68.644,,,,,65.833,,,,,62.252,,,,,59.89,,,,,61.994,,,,,61.675,,,,,52.625,,,,,43.401,,,,,34.608,,,,,26.756
BTN,BHUTAN,57.313,,,,,55.127,,,,,52.92,,,,,50.702,,,,,48.305,,,,,45.477,,,,,42.247,,,,,38.662,,,,,34.793,,,,,30.965,,,,,25.418,,,,,20.537,,,,,16.388,,,,,12.941,,,,,10.132,,,,,7.876,,,,,6.089,,,,,4.687,,,,,3.596,,,,,2.751,,,,,2.1
BWA,BOTSWANA,78.467,,,,,76.788,,,,,75.019,,,,,73.163,,,,,71.222,,,,,69.199,,,,,66.899,,,,,64.166,,,,,60.977,,,,,57.32,,,,,53.219,,,,,48.981,,,,,41.933,,,,,26.724,,,,,16.479,,,,,11.884,,,,,7.834,,,,,3.839,,,,,3.06,,,,,2.883,,,,,2.716
CAF,CENTRAL AFRICAN REPUBLIC,57.867,,,,,55.131,,,,,52.364,,,,,49.582,,,,,46.803,,,,,44.101,,,,,41.853,,,,,40.107,,,,,38.849,,,,,38.067,,,,,37.639,,,,,37.231,,,,,36.825,,,,,35.532,,,,,33.874,,,,,31.956,,,,,27.328,,,,,23.519,,,,,20.1,,,,,17.072,,,,,14.418
CAN,CANADA,86.352,,,,,85.629,,,,,84.875,,,,,84.089,,,,,83.27,,,,,82.46,,,,,81.731,,,,,81.093,,,,,80.554,,,,,80.122,,,,,79.478,,,,,77.675,,,,,76.582,,,,,76.354,,,,,75.663,,,,,75.611,,,,,75.654,,,,,72.892,,,,,69.061,,,,,65.705,,,,,60.946
CHE,SWITZERLAND,80.894,,,,,79.83,,,,,78.722,,,,,77.57,,,,,76.401,,,,,75.391,,,,,74.585,,,,,73.997,,,,,73.638,,,,,73.457,,,,,73.322,,,,,73.578,,,,,73.184,,,,,65.21,,,,,57.084,,,,,57.369,,,,,57.368,,,,,54.217,,,,,51.019,,,,,47.659,,,,,44.38
CHL,CHILE,93.314,,,,,92.949,,,,,92.565,,,,,92.162,,,,,91.739,,,,,91.295,,,,,90.732,,,,,89.96,,,,,88.942,,,,,87.623,,,,,85.946,,,,,84.372,,,,,83.271,,,,,82.624,,,,,81.243,,,,,78.386,,,,,75.227,,,,,71.696,,,,,67.836,,,,,63.254,,,,,58.421
CHN,CHINA,77.308,,,,,75.395,,,,,73.376,,,,,71.255,,,,,68.743,,,,,65.35,,,,,60.986,,,,,55.6,,,,,49.226,,,,,42.522,,,,,35.877,,,,,30.961,,,,,26.442,,,,,22.874,,,,,19.358,,,,,17.4,,,,,17.4,,,,,18.086,,,,,16.203,,,,,13.856,,,,,11.803
CIV,COTE D'IVOIRE,72.085,,,,,69.98,,,,,67.788,,,,,65.514,,,,,63.137,,,,,60.471,,,,,57.481,,,,,54.171,,,,,50.557,,,,,46.836,,,,,43.541,,,,,41.21,,,,,39.345,,,,,37.91,,,,,36.829,,,,,32.229,,,,,28.163,,,,,24.5,,,,,17.679,,,,,13.121,,,,,9.962
CMR,CAMEROON,71.187,,,,,69.054,,,,,66.838,,,,,64.544,,,,,62.182,,,,,59.722,,,,,57.118,,,,,54.377,,,,,51.512,,,,,48.541,,,,,45.542,,,,,42.573,,,,,39.657,,,,,36.232,,,,,31.921,,,,,27.292,,,,,20.3,,,,,16.88,,,,,13.937,,,,,11.434,,,,,9.333
COD,"CONGO, THE DRC",57.298,,,,,54.31,,,,,51.291,,,,,48.262,,,,,45.246,,,,,42.264,,,,,39.338,,,,,36.487,,,,,33.727,,,,,31.159,,,,,29.303,,,,,28.18,,,,,27.743,,,,,27.974,,,,,28.719,,,,,29.503,,,,,30.3,,,,,26.102,,,,,22.3,,,,,20.654,,,,,19.1
COG,CONGO,77.581,,,,,76.064,,,,,74.479,,,,,72.825,,,,,71.107,,,,,69.298,,,,,67.381,,,,,65.355,,,,,63.223,,,,,60.988,,,,,58.695,,,,,56.413,,,,,54.324,,,,,52.221,,,,,47.857,,,,,43.264,,,,,39.129,,,,,35.273,,,,,31.601,,,,,28.143,,,,,24.926
COK,COOK ISLANDS,83.092,,,,,81.987,,,,,80.826,,,,,79.609,,,,,78.358,,,,,77.093,,,,,75.817,,,,,74.537,,,,,73.255,,,,,71.026,,,,,65.191,,,,,58.678,,,,,57.715,,,,,55.202,,,,,53.815,,,,,54.009,,,,,53.285,,,,,50.796,,,,,46.469,,,,,42.191,,,,,38.028
COL,COLOMBIA,84.15,,,,,83.192,,,,,82.188,,,,,81.138,,,,,80.041,,,,,78.891,,,,,77.673,,,,,76.384,,,,,75.02,,,,,73.581,,,,,72.075,,,,,70.516,,,,,68.276,,,,,65.574,,,,,62.121,,,,,58.539,,,,,54.82,,,,,51.022,,,,,45.033,,,,,38.684,,,,,32.7
COM,COMOROS,40.097,,,,,38.12,,,,,36.181,,,,,34.287,,,,,32.441,,,,,30.698,,,,,29.364,,,,,28.463,,,,,27.97,,,,,27.875,,,,,28.08,,,,,28.301,,,,,27.869,,,,,25.469,,,,,23.215,,,,,21.239,,,,,19.39,,,,,16.978,,,,,12.551,,,,,9.15,,,,,6.601
CPV,CAPE VERDE,79.489,,,,,78.095,,,,,76.635,,,,,75.108,,,,,73.429,,,,,71.317,,,,,68.71,,,,,65.561,,,,,61.833,,,,,57.689,,,,,53.435,,,,,48.768,,,,,44.12,,,,,31.5,,,,,23.518,,,,,21.419,,,,,19.559,,,,,18.073,,,,,16.679,,,,,15.399,,,,,14.2
CRI,COSTA RICA,78.892,,,,,77.364,,,,,75.759,,,,,74.078,,,,,72.323,,,,,70.497,,,,,68.575,,,,,66.475,,,,,64.186,,,,,61.706,,,,,59.038,,,,,55.789,,,,,50.683,,,,,45.563,,,,,43.099,,,,,41.349,,,,,38.827,,,,,35.791,,,,,34.254,,,,,33.88,,,,,33.508
CUB,CUBA,81.03,,,,,80.027,,,,,78.985,,,,,77.904,,,,,76.796,,,,,75.907,,,,,75.338,,,,,75.105,,,,,75.215,,,,,75.6,,,,,75.6,,,,,74.277,,,,,73.364,,,,,70.933,,,,,68.106,,,,,64.224,,,,,60.266,,,,,59.337,,,,,58.401,,,,,57.458,,,,,56.511
CYM,CAYMAN ISLANDS,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0,,,,,100.0
CYP,CYPRUS,80.285,,,,,79.047,,,,,77.752,,,,,76.401,,,,,75.001,,,,,73.657,,,,,72.418,,,,,71.299,,,,,70.311,,,,,69.444,,,,,68.648,,,,,68.038,,,,,66.776,,,,,64.678,,,,,58.614,,,,,47.277,,,,,40.761,,,,,38.188,,,,,35.628,,,,,32.334,,,,,28.384
CZE,CZECH REPUBLIC,79.505,,,,,78.395,,,,,77.242,,,,,76.046,,,,,74.931,,,,,74.099,,,,,73.57,,,,,73.356,,,,,73.464,,,,,73.698,,,,,73.988,,,,,74.643,,,,,75.22,,,,,75.365,,,,,75.167,,,,,69.917,,,,,64.402,,,,,62.016,,,,,59.548,,,,,56.884,,,,,54.18
DEU,GERMANY,81.82,,,,,80.786,,,,,79.707,,,,,78.583,,,,,77.415,,,,,76.276,,,,,75.286,,,,,74.462,,,,,73.815,,,,,73.355,,,,,73.067,,,,,73.286,,,,,73.118,,,,,72.711,,,,,72.844,,,,,72.56,,,,,72.274,,,,,71.955,,,,,71.384,,,,,69.691,,,,,68.091
DJI,DJIBOUTI,84.17,,,,,83.16,,,,,82.099,,,,,80.986,,,,,79.846,,,,,78.843,,,,,78.023,,,,,77.404,,,,,76.999,,,,,76.761,,,,,76.532,,,,,76.3,,,,,75.65,,,,,74.631,,,,,72.096,,,,,67.142,,,,,61.777,,,,,56.109,,,,,50.325,,,,,45.011,,,,,39.81
DMA,DOMINICA,77.288,,,,,75.951,,,,,74.562,,,,,73.121,,,,,71.629,,,,,70.088,,,,,68.671,,,,,67.654,,,,,67.06,,,,,66.9,,,,,67.178,,,,,67.629,,,,,67.716,,,,,66.046,,,,,63.411,,,,,55.296,,,,,46.891,,,,,36.583,,,,,27.29,,,,,25.923,,,,,24.924
DNK,DENMARK,91.124,,,,,90.684,,,,,90.224,,,,,89.745,,,,,89.238,,,,,88.692,,,,,88.105,,,,,87.474,,,,,86.795,,,,,85.856,,,,,85.1,,,,,84.979,,,,,84.843,,,,,84.351,,,,,83.723,,,,,82.146,,,,,79.737,,,,,77.048,,,,,73.687,,,,,69.619,,,,,67.983
DOM,DOMINICAN REPUBLIC,83.01,,,,,81.77,,,,,80.46,,,,,79.08,,,,,77.63,,,,,76.097,,,,,74.23,,,,,71.906,,,,,69.073,,,,,65.681,,,,,61.746,,,,,57.596,,,,,55.226,,,,,53.868,,,,,51.281,,,,,45.691,,,,,40.209,,,,,35.039,,,,,30.229,,,,,26.861,,,,,23.741
