Country code,Country name,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
AFG,AFGHANISTAN,396.0,425.0,459.0,496.0,536.0,584.0,631.0,676.0,724.0,776.0,821.0,881.0,941.0,996.0,1050.0,1100.0,1130.0,1160.0,1200.0,1240.0,1270.0,1300.0,1320.0,1330.0,1330.0,1340.0
AGO,ANGOLA,477.0,493.0,509.0,526.0,546.0,561.0,581.0,606.0,640.0,668.0,705.0,749.0,789.0,831.0,878.0,924.0,981.0,1030.0,1070.0,1120.0,1150.0,1180.0,1180.0,1180.0,1160.0,1160.0
ALB,ALBANIA,29.0,29.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,29.0,30.0,31.0,35.0,37.0,40.0,43.0,42.0,46.0,51.0,50.0,53.0,49.0,63.0,65.0,69.0,71.0
ARE,UNITED ARAB EMIRATES,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
ARG,ARGENTINA,52.0,54.0,54.0,55.0,56.0,58.0,62.0,57.0,58.0,57.0,58.0,59.0,61.0,60.0,61.0,60.0,62.0,61.0,64.0,63.0,63.0,64.0,65.0,69.0,71.0,72.0
ARM,ARMENIA,25.0,26.0,28.0,30.0,31.0,33.0,36.0,39.0,35.0,40.0,40.0,41.0,43.0,45.0,39.0,40.0,40.0,46.0,46.0,51.0,50.0,50.0,57.0,55.0,48.0,58.0
AUS,AUSTRALIA,6.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
AUT,AUSTRIA,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0
AZE,AZERBAIJAN,25.0,26.0,25.0,25.0,26.0,27.0,27.0,28.0,29.0,30.0,34.0,32.0,38.0,38.0,43.0,48.0,61.0,66.0,73.0,77.0,86.0,92.0,82.0,83.0,65.0,64.0
BDI,BURUNDI,712.0,737.0,760.0,780.0,796.0,808.0,824.0,838.0,849.0,856.0,863.0,873.0,883.0,898.0,919.0,954.0,985.0,1040.0,1100.0,1160.0,1210.0,1250.0,1260.0,1270.0,1250.0,1220.0
BEL,BELGIUM,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0
BEN,BENIN,405.0,414.0,422.0,429.0,436.0,446.0,457.0,469.0,481.0,494.0,502.0,523.0,538.0,549.0,561.0,572.0,576.0,577.0,571.0,561.0,550.0,541.0,537.0,540.0,553.0,576.0
BFA,BURKINA FASO,371.0,379.0,389.0,398.0,408.0,417.0,428.0,436.0,447.0,457.0,468.0,482.0,500.0,516.0,530.0,547.0,565.0,581.0,601.0,620.0,636.0,655.0,674.0,693.0,709.0,727.0
BGD,BANGLADESH,176.0,188.0,201.0,214.0,228.0,242.0,258.0,273.0,288.0,303.0,319.0,333.0,349.0,365.0,384.0,399.0,415.0,432.0,446.0,462.0,479.0,495.0,511.0,531.0,550.0,569.0
BGR,BULGARIA,11.0,11.0,11.0,10.0,11.0,11.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,23.0,23.0,26.0,24.0,24.0,25.0,23.0,25.0,23.0,25.0
BHR,BAHRAIN,15.0,15.0,15.0,16.0,16.0,16.0,17.0,17.0,18.0,19.0,20.0,20.0,20.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,23.0,25.0,25.0,26.0
BHS,BAHAMAS,80.0,83.0,81.0,82.0,86.0,85.0,80.0,82.0,78.0,78.0,74.0,71.0,71.0,67.0,64.0,61.0,58.0,55.0,54.0,52.0,49.0,47.0,45.0,45.0,46.0,46.0
BIH,BOSNIA AND HERZEGOWINA,11.0,12.0,12.0,12.0,12.0,13.0,14.0,13.0,14.0,14.0,14.0,15.0,15.0,15.0,16.0,17.0,18.0,19.0,21.0,21.0,22.0,24.0,26.0,28.0,29.0,28.0
BLR,BELARUS,4.0,4.0,4.0,4.0,5.0,5.0,6.0,7.0,8.0,10.0,13.0,16.0,19.0,22.0,23.0,26.0,30.0,30.0,31.0,32.0,33.0,33.0,33.0,32.0,32.0,33.0
BLZ,BELIZE,28.0,28.0,29.0,32.0,33.0,37.0,39.0,36.0,46.0,50.0,52.0,50.0,50.0,53.0,53.0,53.0,52.0,51.0,53.0,53.0,55.0,55.0,54.0,55.0,54.0,54.0
BOL,BOLIVIA,206.0,215.0,222.0,230.0,241.0,253.0,266.0,277.0,288.0,298.0,305.0,312.0,317.0,323.0,329.0,334.0,342.0,350.0,362.0,375.0,390.0,401.0,409.0,417.0,422.0,425.0
BRA,BRAZIL,44.0,46.0,48.0,60.0,59.0,65.0,65.0,66.0,67.0,68.0,67.0,66.0,63.0,62.0,61.0,66.0,81.0,94.0,90.0,86.0,84.0,88.0,93.0,95.0,100.0,104.0
BRB,BARBADOS,27.0,28.0,28.0,29.0,31.0,33.0,34.0,36.0,38.0,36.0,40.0,47.0,46.0,46.0,46.0,48.0,50.0,47.0,45.0,44.0,49.0,56.0,52.0,52.0,52.0,58.0
BRN,BRUNEI DARUSSALAM,23.0,23.0,24.0,25.0,29.0,27.0,26.0,27.0,26.0,28.0,30.0,32.0,32.0,30.0,31.0,31.0,33.0,33.0,34.0,34.0,33.0,34.0,33.0,32.0,31.0,35.0
BTN,BHUTAN,148.0,156.0,166.0,177.0,190.0,204.0,221.0,242.0,263.0,285.0,308.0,331.0,353.0,373.0,397.0,423.0,454.0,488.0,530.0,579.0,636.0,690.0,749.0,813.0,877.0,945.0
BWA,BOTSWANA,129.0,134.0,139.0,153.0,159.0,169.0,188.0,208.0,215.0,239.0,276.0,311.0,334.0,338.0,328.0,311.0,307.0,289.0,270.0,253.0,238.0,230.0,226.0,227.0,233.0,243.0
CAF,CENTRAL AFRICAN REPUBLIC,882.0,872.0,873.0,876.0,888.0,909.0,941.0,963.0,992.0,1020.0,1060.0,1110.0,1150.0,1170.0,1190.0,1200.0,1230.0,1260.0,1280.0,1290.0,1300.0,1320.0,1320.0,1320.0,1310.0,1290.0
CAN,CANADA,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,7.0
CHE,SWITZERLAND,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
CHL,CHILE,22.0,23.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,28.0,27.0,29.0,29.0,29.0,32.0,31.0,34.0,34.0,36.0,39.0,41.0,43.0,45.0,48.0,52.0,57.0
CHN,CHINA,27.0,28.0,29.0,31.0,33.0,35.0,38.0,40.0,43.0,45.0,48.0,50.0,52.0,54.0,56.0,58.0,60.0,62.0,64.0,68.0,72.0,77.0,82.0,87.0,92.0,97.0
CIV,COTE D'IVOIRE,645.0,665.0,688.0,715.0,715.0,717.0,732.0,745.0,745.0,745.0,742.0,725.0,700.0,683.0,678.0,671.0,674.0,678.0,674.0,686.0,711.0,741.0,753.0,741.0,741.0,745.0
CMR,CAMEROON,596.0,609.0,619.0,632.0,652.0,676.0,696.0,707.0,710.0,725.0,729.0,723.0,732.0,742.0,751.0,750.0,750.0,749.0,751.0,753.0,749.0,749.0,743.0,740.0,732.0,728.0
COD,"CONGO, THE DRC",693.0,717.0,746.0,771.0,777.0,794.0,793.0,792.0,803.0,789.0,787.0,793.0,808.0,830.0,853.0,874.0,902.0,915.0,919.0,920.0,914.0,904.0,890.0,883.0,881.0,879.0
COG,CONGO,442.0,452.0,469.0,483.0,494.0,509.0,525.0,537.0,555.0,575.0,596.0,622.0,641.0,655.0,657.0,653.0,657.0,651.0,653.0,646.0,634.0,627.0,615.0,612.0,608.0,603.0
COL,COLOMBIA,64.0,66.0,67.0,66.0,69.0,72.0,73.0,73.0,75.0,77.0,80.0,83.0,89.0,93.0,95.0,97.0,98.0,99.0,98.0,103.0,105.0,109.0,114.0,118.0,120.0,118.0
COM,COMOROS,335.0,344.0,354.0,365.0,376.0,388.0,396.0,407.0,415.0,426.0,436.0,447.0,458.0,471.0,484.0,499.0,509.0,521.0,533.0,549.0,563.0,576.0,592.0,606.0,619.0,635.0
CPV,CAPE VERDE,42.0,44.0,46.0,48.0,50.0,51.0,54.0,57.0,60.0,60.0,54.0,56.0,61.0,68.0,75.0,83.0,94.0,104.0,119.0,134.0,150.0,170.0,193.0,212.0,233.0,256.0
CRI,COSTA RICA,25.0,26.0,26.0,27.0,28.0,29.0,32.0,30.0,29.0,33.0,31.0,32.0,36.0,37.0,36.0,38.0,40.0,39.0,42.0,44.0,44.0,43.0,41.0,43.0,45.0,43.0
CUB,CUBA,39.0,40.0,41.0,41.0,43.0,44.0,43.0,42.0,40.0,38.0,41.0,40.0,39.0,39.0,41.0,43.0,44.0,49.0,49.0,52.0,55.0,57.0,58.0,60.0,59.0,58.0
CYP,CYPRUS,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,12.0,9.0,9.0,10.0,9.0,15.0,14.0,14.0,14.0,13.0,17.0,17.0,14.0,17.0,15.0,16.0
CZE,CZECH REPUBLIC,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,10.0,11.0,12.0,13.0,14.0,14.0
DEU,GERMANY,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,11.0,11.0
DJI,DJIBOUTI,229.0,237.0,243.0,257.0,266.0,275.0,290.0,309.0,321.0,330.0,341.0,357.0,371.0,382.0,396.0,401.0,410.0,420.0,429.0,445.0,452.0,459.0,466.0,477.0,499.0,517.0
DNK,DENMARK,6.0,7.0,7.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
DOM,DOMINICAN REPUBLIC,92.0,98.0,106.0,62.0,115.0,75.0,105.0,85.0,81.0,110.0,64.0,77.0,69.0,66.0,75.0,79.0,96.0,171.0,186.0,190.0,198.0,181.0,196.0,194.0,209.0,198.0
DZA,ALGERIA,140.0,141.0,144.0,145.0,147.0,147.0,148.0,148.0,148.0,147.0,148.0,150.0,153.0,158.0,164.0,170.0,174.0,179.0,184.0,189.0,192.0,196.0,201.0,205.0,210.0,216.0
ECU,ECUADOR,64.0,66.0,70.0,74.0,78.0,75.0,72.0,68.0,68.0,71.0,74.0,75.0,81.0,91.0,98.0,103.0,111.0,116.0,110.0,124.0,131.0,147.0,164.0,172.0,181.0,185.0
EGY,EGYPT,33.0,34.0,35.0,37.0,39.0,40.0,43.0,45.0,47.0,50.0,52.0,54.0,56.0,58.0,60.0,63.0,66.0,70.0,74.0,78.0,83.0,88.0,93.0,98.0,102.0,106.0
ERI,ERITREA,501.0,524.0,533.0,540.0,561.0,579.0,599.0,614.0,619.0,615.0,619.0,627.0,647.0,669.0,700.0,733.0,770.0,829.0,900.0,977.0,1100.0,1210.0,1320.0,1430.0,1520.0,1590.0
ESP,SPAIN,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
EST,ESTONIA,9.0,9.0,9.0,9.0,10.0,8.0,11.0,11.0,13.0,13.0,15.0,17.0,19.0,22.0,24.0,26.0,26.0,29.0,29.0,33.0,43.0,57.0,45.0,39.0,42.0,42.0
ETH,ETHIOPIA,353.0,378.0,410.0,447.0,482.0,523.0,566.0,608.0,654.0,698.0,743.0,780.0,814.0,846.0,871.0,897.0,927.0,959.0,998.0,1040.0,1080.0,1130.0,1180.0,1210.0,1230.0,1250.0
FIN,FINLAND,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0
FJI,FIJI,30.0,31.0,32.0,33.0,33.0,34.0,35.0,36.0,37.0,39.0,39.0,39.0,40.0,40.0,41.0,42.0,43.0,45.0,47.0,49.0,51.0,54.0,57.0,59.0,61.0,63.0
FRA,FRANCE,8.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,12.0,12.0,12.0,13.0,13.0,14.0,15.0,14.0,15.0,15.0,15.0,15.0
FSM,"MICRONESIA, FEDERATED STATES OF",100.0,102.0,104.0,107.0,110.0,115.0,118.0,122.0,126.0,130.0,134.0,139.0,143.0,148.0,150.0,153.0,156.0,159.0,161.0,164.0,166.0,169.0,173.0,175.0,179.0,183.0
GAB,GABON,291.0,295.0,308.0,314.0,317.0,322.0,327.0,335.0,350.0,367.0,370.0,372.0,389.0,399.0,402.0,405.0,402.0,401.0,397.0,403.0,405.0,408.0,408.0,411.0,418.0,422.0
GBR,UNITED KINGDOM,9.0,9.0,9.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0
GEO,GEORGIA,36.0,37.0,38.0,39.0,39.0,40.0,39.0,37.0,38.0,37.0,37.0,37.0,37.0,37.0,36.0,37.0,37.0,37.0,37.0,36.0,35.0,34.0,27.0,30.0,31.0,34.0
GHA,GHANA,319.0,322.0,321.0,324.0,320.0,325.0,330.0,337.0,345.0,358.0,376.0,396.0,420.0,437.0,449.0,467.0,487.0,501.0,515.0,527.0,532.0,535.0,551.0,569.0,600.0,634.0
GIN,GUINEA,679.0,688.0,695.0,695.0,711.0,720.0,731.0,743.0,770.0,791.0,831.0,882.0,928.0,961.0,973.0,976.0,979.0,977.0,975.0,972.0,964.0,967.0,973.0,982.0,1010.0,1040.0
GMB,GAMBIA,706.0,719.0,730.0,741.0,753.0,753.0,767.0,774.0,789.0,798.0,807.0,822.0,841.0,854.0,869.0,887.0,910.0,931.0,943.0,961.0,977.0,994.0,1010.0,1020.0,1030.0,1030.0
GNB,GUINEA-BISSAU,549.0,553.0,554.0,553.0,563.0,570.0,587.0,614.0,643.0,679.0,714.0,745.0,775.0,793.0,799.0,800.0,788.0,782.0,776.0,777.0,780.0,799.0,825.0,848.0,877.0,907.0
GNQ,EQUATORIAL GUINEA,342.0,351.0,356.0,361.0,364.0,379.0,391.0,408.0,426.0,450.0,483.0,523.0,564.0,611.0,659.0,702.0,751.0,818.0,876.0,949.0,1050.0,1170.0,1230.0,1260.0,1290.0,1310.0
GRC,GREECE,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0
GRD,GRENADA,27.0,27.0,27.0,27.0,27.0,27.0,26.0,25.0,25.0,25.0,25.0,26.0,27.0,28.0,29.0,29.0,29.0,29.0,30.0,33.0,37.0,38.0,39.0,38.0,38.0,41.0
GTM,GUATEMALA,88.0,93.0,99.0,105.0,103.0,109.0,115.0,117.0,118.0,120.0,120.0,139.0,146.0,157.0,170.0,178.0,179.0,175.0,171.0,170.0,173.0,178.0,184.0,191.0,198.0,205.0
GUY,GUYANA,229.0,233.0,236.0,239.0,239.0,241.0,176.0,200.0,217.0,226.0,232.0,220.0,208.0,208.0,211.0,210.0,213.0,214.0,219.0,216.0,205.0,190.0,173.0,171.0,170.0,171.0
HND,HONDURAS,129.0,132.0,135.0,141.0,149.0,155.0,157.0,157.0,154.0,153.0,150.0,148.0,141.0,136.0,134.0,133.0,132.0,134.0,141.0,151.0,166.0,186.0,207.0,229.0,251.0,272.0
HRV,CROATIA (LOCAL NAME: HRVATSKA),8.0,9.0,9.0,9.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,12.0,12.0,14.0,12.0,12.0,11.0,11.0,12.0,10.0
HTI,HAITI,359.0,367.0,370.0,372.0,369.0,389.0,408.0,424.0,442.0,452.0,459.0,472.0,479.0,482.0,492.0,505.0,516.0,518.0,529.0,540.0,544.0,551.0,559.0,572.0,594.0,625.0
HUN,HUNGARY,17.0,16.0,16.0,16.0,16.0,15.0,16.0,15.0,16.0,14.0,14.0,13.0,14.0,14.0,14.0,15.0,16.0,16.0,17.0,18.0,20.0,21.0,24.0,23.0,23.0,24.0
IDN,INDONESIA,126.0,133.0,140.0,148.0,156.0,165.0,173.0,181.0,190.0,200.0,212.0,221.0,231.0,241.0,253.0,265.0,276.0,287.0,299.0,312.0,326.0,347.0,368.0,391.0,417.0,446.0
IND,INDIA,174.0,181.0,189.0,197.0,206.0,215.0,225.0,237.0,250.0,265.0,280.0,298.0,316.0,335.0,354.0,374.0,395.0,414.0,434.0,453.0,471.0,488.0,504.0,521.0,538.0,556.0
IRL,IRELAND,8.0,8.0,8.0,8.0,8.0,7.0,9.0,8.0,7.0,7.0,8.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,11.0
IRN,IRAN (ISLAMIC REPUBLIC OF),25.0,26.0,26.0,26.0,27.0,27.0,28.0,29.0,30.0,32.0,34.0,36.0,39.0,43.0,46.0,51.0,55.0,60.0,66.0,73.0,80.0,87.0,94.0,103.0,113.0,123.0
IRQ,IRAQ,50.0,50.0,50.0,51.0,51.0,51.0,52.0,52.0,52.0,52.0,54.0,55.0,57.0,59.0,61.0,63.0,66.0,70.0,75.0,81.0,87.0,92.0,98.0,98.0,101.0,107.0
ISL,ICELAND,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0
ISR,ISRAEL,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,11.0,11.0
ITA,ITALY,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0
JAM,JAMAICA,89.0,90.0,91.0,92.0,93.0,93.0,93.0,93.0,93.0,91.0,92.0,90.0,90.0,90.0,90.0,89.0,88.0,87.0,85.0,83.0,81.0,80.0,79.0,78.0,78.0,79.0
JOR,JORDAN,58.0,59.0,59.0,59.0,59.0,59.0,58.0,58.0,59.0,60.0,62.0,65.0,68.0,70.0,73.0,77.0,80.0,84.0,88.0,91.0,93.0,96.0,99.0,102.0,105.0,110.0
JPN,JAPAN,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,13.0,14.0
KAZ,KAZAKHSTAN,12.0,12.0,13.0,15.0,17.0,20.0,24.0,30.0,37.0,41.0,44.0,46.0,50.0,54.0,60.0,65.0,72.0,81.0,87.0,91.0,92.0,86.0,87.0,80.0,77.0,78.0
KEN,KENYA,510.0,525.0,540.0,562.0,584.0,605.0,633.0,660.0,680.0,702.0,728.0,751.0,768.0,767.0,765.0,759.0,755.0,741.0,729.0,717.0,698.0,684.0,669.0,671.0,678.0,687.0
KGZ,KYRGYZSTAN,76.0,77.0,79.0,81.0,87.0,84.0,89.0,89.0,89.0,90.0,85.0,81.0,82.0,81.0,72.0,74.0,72.0,77.0,78.0,85.0,92.0,89.0,82.0,79.0,82.0,80.0
KHM,CAMBODIA,161.0,167.0,173.0,178.0,188.0,202.0,217.0,237.0,257.0,284.0,315.0,341.0,367.0,402.0,441.0,484.0,532.0,582.0,633.0,682.0,730.0,789.0,842.0,896.0,955.0,1020.0
KIR,KIRIBATI,90.0,93.0,96.0,101.0,105.0,109.0,114.0,119.0,123.0,128.0,135.0,140.0,146.0,153.0,160.0,166.0,174.0,182.0,190.0,198.0,207.0,215.0,222.0,228.0,232.0,234.0
KOR,"KOREA, REPUBLIC OF",11.0,12.0,12.0,13.0,14.0,15.0,15.0,14.0,14.0,13.0,14.0,14.0,15.0,14.0,14.0,16.0,16.0,17.0,18.0,19.0,19.0,19.0,19.0,20.0,21.0,21.0
KWT,KUWAIT,4.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,9.0,9.0,8.0,7.0,6.0,5.0,7.0
LAO,LAOS ,197.0,213.0,230.0,250.0,271.0,294.0,316.0,341.0,366.0,392.0,418.0,444.0,468.0,493.0,519.0,546.0,573.0,602.0,632.0,664.0,695.0,734.0,774.0,819.0,863.0,905.0
