Country code,Country name,2007,2006,2005,2004,2003,2002,2001,2000
AZE,AZERBAIJAN,,,,,,,,0.8
BDI,BURUNDI,,,28.0,,,,,41.7
BEN,BENIN,,56.7,,,,62.3,,
BFA,BURKINA FASO,,70.4,,,60.1,,,
CAF,CENTRAL AFRICAN REPUBLIC,,67.6,,,,,,75.8
CIV,COTE D'IVOIRE,,45.2,,,,,,68.9
CMR,CAMEROON,,69.1,,72.4,,,,70.8
COD,"CONGO, THE DRC",,,,,,,63.0,
COG,CONGO,,,42.0,,,,,
COM,COMOROS,,,,,,,,65.2
DJI,DJIBOUTI,,9.6,,,,,,
ERI,ERITREA,,,,,,4.0,,
ETH,ETHIOPIA,12.6,,4.2,,,,,
GHA,GHANA,,68.7,,,65.2,,,
GIN,GUINEA,,,51.6,,,,,
GMB,GAMBIA,,59.3,,,,,,58.0
GNB,GUINEA-BISSAU,,60.2,,,,,,71.9
GNQ,EQUATORIAL GUINEA,,,,,,,,55.0
HND,HONDURAS,,0.7,,,,,,
HTI,HAITI,,,6.6,,,,,7.3
IDN,INDONESIA,0.8,,,,0.8,,,5.7
IND,INDIA,,,,,,,,14.0
IRQ,IRAQ,,,,,,,,1.1
KEN,KENYA,,,,,21.5,,,63.6
KHM,CAMBODIA,,,1.3,,,,,
LAO,LAOSÂ ,,,,,,,,2.3
MDG,MADAGASCAR,,,,36.0,,,,61.9
MLI,MALI,,35.2,,,,,,
MOZ,MOZAMBIQUE,,,,,12.7,,,
MRT,MAURITANIA,,,,26.7,,,,
MWI,MALAWI,,29.7,,42.0,,,,33.7
NAM,NAMIBIA,,,,,,,,6.3
NER,NIGER,,45.1,,,,,,59.0
NGA,NIGERIA,,,,,39.3,,,
NIC,NICARAGUA,,,,,,,0.6,
RWA,RWANDA,,,10.5,,,,,11.5
SDN,SUDAN,,,,,,,,60.6
SEN,SENEGAL,,18.6,34.1,,,,,52.7
SLE,SIERRA LEONE,,,57.6,,,,,60.8
SOM,SOMALIA,,14.3,,,,,,
STP,SAO TOME AND PRINCIPE,,22.3,,,,,,61.9
SWZ,SWAZILAND,,,,,,,,28.4
TCD,CHAD,,,,,,,,41.2
TGO,TOGO,,57.3,,,,,,62.2
TJK,TAJIKISTAN,,,1.1,,,,,
TLS,EAST TIMOR,,,,,,55.8,,
TZA,"TANZANIA, UNITED REPUBLIC OF",,,64.6,,,,,
UGA,UGANDA,,57.8,,,,,,
VNM,VIET NAM,,2.1,,,,,,10.3
ZMB,ZAMBIA,,73.6,,,,49.3,,
ZWE,ZIMBABWE,,0.7,,,,,,
