Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
ABW,ARUBA,,,51.7,,,48.6,,,,,,,48.3,,,,,,43.4,,,44.0,
AFG,AFGHANISTAN,,,,,18.4,17.6,18.0,25.9,18.5,17.8,19.2,,,,,,,,,,,,
AGO,ANGOLA,,,,,,,,,,,,,,,,,23.5,,,,,,
ALB,ALBANIA,37.1,39.2,,36.1,,,,,,33.0,31.6,26.9,28.9,29.2,,,,,,,,,
AND,ANDORRA,,,,47.3,46.8,46.6,46.1,45.8,45.7,45.6,,,,,,,,,,,,,
ARE,UNITED ARAB EMIRATES,,,,,20.1,,,,,,,,,,,,,,,,,,
ARG,ARGENTINA,44.0,43.8,43.9,44.6,44.1,,45.0,45.1,44.8,45.5,45.9,43.3,42.6,42.1,40.9,39.6,39.6,39.9,38.1,38.9,37.8,36.6,37.1
ARM,ARMENIA,45.7,44.9,40.9,43.1,40.4,41.4,41.5,41.2,43.4,45.0,45.0,,,,,,,,,,,,
ASM,AMERICAN SAMOA,,,,,,,,,,,,,,,,,,,,,,,41.7
ATG,ANTIGUA AND BARBUDA,,,,,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,,,,,,,,,,,
AUS,AUSTRALIA,47.2,47.2,47.2,47.5,47.1,47.0,47.1,47.0,46.7,47.0,46.7,46.9,46.3,45.8,45.5,45.3,45.2,45.2,44.7,44.7,44.3,44.5,43.7
AUT,AUSTRIA,47.9,47.6,47.8,47.8,47.0,46.3,46.6,46.6,46.2,45.5,44.9,44.2,43.7,43.5,43.2,43.0,42.7,42.6,42.8,42.7,42.4,41.7,41.5
AZE,AZERBAIJAN,42.7,44.4,43.9,44.0,43.6,44.6,46.1,46.5,44.9,46.2,46.6,47.0,47.6,47.5,47.5,47.5,,,,,,,
BDI,BURUNDI,,,,,,,,,,,,,,,,,,,,,,,14.3
BEL,BELGIUM,47.6,47.5,47.2,47.0,46.6,46.0,45.7,45.3,44.7,44.4,43.9,43.4,43.4,43.4,42.4,42.0,41.4,41.2,41.0,41.2,40.6,39.7,38.7
BEN,BENIN,,,25.9,,,,,,,,24.3,,,,,,,,,,20.7,,
BFA,BURKINA FASO,,,,,,26.5,26.5,25.4,24.8,23.6,23.2,23.3,23.2,22.6,,23.1,,22.1,,,,,22.5
BGD,BANGLADESH,,,18.3,,,,,20.1,,21.6,,,24.7,,,,26.7,,,,,20.2,
BGR,BULGARIA,49.8,49.3,49.2,48.9,48.7,49.1,51.4,52.2,52.7,53.1,53.1,53.1,52.8,52.4,52.7,52.4,52.5,52.4,52.2,52.1,,,
BHR,BAHRAIN,,20.9,20.5,19.5,19.5,19.5,19.8,20.1,20.4,20.5,20.5,21.3,20.0,19.8,,17.1,,,16.6,15.5,14.0,12.7,12.3
BHS,BAHAMAS,,,52.4,50.2,49.2,48.8,49.7,50.0,50.4,50.1,49.7,49.8,,48.4,49.4,48.1,47.6,49.4,48.9,48.6,48.8,49.6,
BIH,BOSNIA AND HERZEGOWINA,41.4,41.3,41.0,40.5,39.3,38.2,38.7,,,,,,,,,,,,,,,,
BLR,BELARUS,52.2,51.1,52.1,55.8,52.8,52.8,52.8,52.9,53.0,53.1,53.0,52.8,52.4,52.1,51.4,51.3,51.2,52.2,51.5,50.6,51.9,51.8,51.9
BLZ,BELIZE,,,,,,37.7,35.9,36.5,,,34.0,35.0,,34.1,34.4,33.2,33.3,33.0,32.7,33.9,,,
BMU,BERMUDA,55.4,50.3,52.4,53.7,,48.7,48.5,48.6,48.7,48.9,49.4,49.3,49.8,49.9,50.3,50.5,50.4,50.4,50.3,49.8,49.6,49.1,48.7
BOL,BOLIVIA,,,,36.5,,38.1,42.4,37.7,36.1,,38.2,38.1,38.6,34.5,,36.1,36.9,35.9,35.3,36.8,34.2,34.8,35.2
BRA,BRAZIL,47.2,47.1,,47.2,,46.8,47.0,46.7,46.8,46.6,46.1,40.7,40.3,40.3,39.6,44.3,44.3,44.1,38.0,43.0,42.8,,40.2
BRB,BARBADOS,,,,,50.7,50.4,51.2,52.0,51.3,51.1,50.0,50.1,49.9,49.0,48.0,48.8,47.9,49.3,48.0,48.1,48.9,46.4,46.8
BRN,BRUNEI DARUSSALAM,,,,,,,,,,30.3,29.0,28.9,30.3,26.7,23.8,19.9,19.0,17.2,19.5,,,22.5,
BTN,BHUTAN,26.3,27.7,,26.8,,,,,,,,,23.9,,,,,,,,,,
BWA,BOTSWANA,,,41.4,41.6,,43.4,43.6,42.6,39.5,40.8,42.4,41.1,42.9,40.5,38.8,39.1,38.6,38.4,,,36.6,33.4,33.5
CAF,CENTRAL AFRICAN REPUBLIC,,,,,,,,,,46.8,,,,,,,,,,,,,
CAN,CANADA,49.9,49.8,50.3,50.5,49.9,49.8,49.5,49.4,49.4,49.2,48.8,48.8,48.3,48.2,48.3,48.1,48.0,48.0,47.8,48.1,48.0,47.8,46.9
CHE,SWITZERLAND,47.0,46.9,47.1,47.3,47.4,46.6,46.8,46.9,46.9,46.7,46.8,46.1,45.7,45.9,45.7,45.3,44.9,44.2,43.7,43.3,43.6,43.7,43.4
CHL,CHILE,38.5,37.8,37.8,36.9,36.2,35.5,34.9,34.4,34.2,33.5,33.2,32.9,32.8,32.7,31.7,37.2,36.8,37.3,37.6,37.5,37.4,36.6,37.3
CHN,CHINA,,,,,,,,,,,,,,39.1,37.9,38.8,38.7,38.7,38.1,37.3,35.8,37.9,37.8
CIV,COTE D'IVOIRE,,,,,,,,,,,,,,,20.6,,,,,,,,
CMR,CAMEROON,,,26.4,,,,,,,,,22.2,,,,,19.2,,,,,,
COD,"CONGO, THE DRC",,,,,,,,,,,,,,,,,,,,,,,25.9
COG,CONGO,,,,,,,,,,,,,,,,,,,,,,,26.1
COL,COLOMBIA,45.6,45.9,46.4,46.3,47.5,47.5,46.6,47.4,48.3,48.8,50.1,49.1,48.8,47.8,45.8,46.1,44.7,44.9,43.6,44.6,44.4,43.6,41.8
COM,COMOROS,,,,,,,,,,,,,,,,,18.0,,,,,,
CPV,CAPE VERDE,,,,,,,,,,,,,38.9,,,,,,,,,,
CRI,COSTA RICA,43.1,43.0,42.9,42.8,41.5,41.1,40.7,39.6,38.5,39.5,39.9,40.1,39.3,39.5,38.8,37.5,37.2,36.7,36.5,36.3,37.8,37.4,37.2
CUB,CUBA,,,44.8,44.8,43.4,43.7,42.7,42.6,42.6,42.8,42.3,42.8,43.3,43.3,42.9,42.3,42.0,42.3,,,,,
CYM,CAYMAN ISLANDS,,50.7,,,50.5,49.3,49.4,49.5,52.2,54.2,51.8,,51.2,,,51.8,,,,,,50.0,
CYP,CYPRUS,51.2,51.4,50.8,50.0,48.7,49.1,48.1,47.7,48.2,49.3,48.2,47.4,44.4,43.2,42.4,42.0,41.6,41.3,,,,,
CZE,CZECH REPUBLIC,46.2,46.1,46.1,45.9,46.0,46.3,46.4,46.6,47.1,46.8,46.7,46.6,46.5,46.5,46.2,46.2,46.3,46.3,46.4,46.0,45.7,48.3,51.0
DEU,GERMANY,47.9,47.9,47.7,47.5,46.8,46.9,46.9,46.6,46.6,46.4,45.9,45.5,45.1,44.8,44.2,44.0,43.7,43.0,43.0,42.7,42.6,42.7,
DJI,DJIBOUTI,,,,,,,,,,,26.7,,,,,,,,,,,,
DMA,DOMINICA,,,,,,,,,,,,43.8,,44.0,,46.8,,,,,,39.7,
DNK,DENMARK,49.7,49.7,50.0,49.5,49.3,49.0,48.8,48.7,48.8,48.3,49.0,48.9,48.5,48.3,48.1,47.6,47.3,46.5,47.7,48.7,48.4,48.2,48.0
DOM,DOMINICAN REPUBLIC,41.6,41.2,40.6,39.1,40.1,39.2,39.4,38.3,38.2,38.9,39.5,38.0,37.3,34.6,34.6,32.1,32.3,34.0,32.6,31.4,31.3,31.5,
DZA,ALGERIA,,,15.1,15.3,15.0,16.8,15.0,14.7,14.5,14.2,,13.4,,,,,,,,,,,
ECU,ECUADOR,39.8,39.2,,,,,38.7,40.2,39.2,,38.1,38.7,39.3,39.0,33.3,33.8,33.3,33.3,32.9,32.0,33.4,31.5,30.9
EGY,EGYPT,19.1,18.5,18.0,18.1,18.0,19.0,18.1,17.7,18.8,19.9,22.4,20.7,19.0,20.9,20.0,18.9,,18.9,18.9,18.8,17.8,18.7,20.5
ERI,ERITREA,,,,,,,,,,,,,,,,,31.1,,,,,,
ESP,SPAIN,48.7,47.8,47.3,46.4,44.9,43.7,43.0,42.3,41.5,40.7,40.0,39.4,38.9,38.0,37.1,37.2,36.6,35.7,35.5,34.7,33.7,33.0,32.3
EST,ESTONIA,53.2,53.0,54.0,53.9,51.8,52.3,52.5,52.6,52.2,51.5,51.5,51.7,51.7,51.6,51.4,50.9,51.3,50.8,51.1,51.4,51.2,51.7,52.3
ETH,ETHIOPIA,41.6,39.5,41.6,39.7,,,41.3,43.8,40.6,,,,,40.9,,,,,,,,,
FIN,FINLAND,51.5,51.2,51.3,51.5,50.7,51.0,51.0,50.9,50.7,50.6,50.7,50.2,50.3,50.3,49.8,50.3,50.6,51.1,51.9,52.1,52.2,51.4,50.6
FJI,FIJI,,,,,,,,29.6,,,,,33.2,34.9,34.0,32.6,31.5,,,30.3,,,29.9
FRA,FRANCE,49.9,49.7,49.7,49.6,49.2,49.3,48.9,48.6,48.3,48.2,47.9,47.5,47.4,47.4,47.4,47.3,47.2,46.3,46.2,46.4,45.7,45.0,44.7
FRO,FAROE ISLANDS,,,,,,,,45.8,,,,,,,,,,,,,,,
GAB,GABON,,,34.5,,,,,,,,,,,,,,,,,29.3,,,
GBR,UNITED KINGDOM,49.2,49.2,49.3,49.4,48.9,48.8,48.9,48.9,48.9,48.6,48.7,48.5,48.1,48.2,47.1,47.4,47.6,47.6,47.7,47.7,47.2,48.6,47.4
GEO,GEORGIA,45.7,47.1,48.5,46.7,46.2,47.8,48.5,48.5,50.3,48.9,49.6,,,49.2,49.4,,,,,,,,
GHA,GHANA,,,,,,,,,,,,,31.7,,,,,,,,,,
GIB,GIBRALTAR,,,,41.2,,41.0,41.5,41.9,41.5,41.6,40.2,39.9,39.7,39.3,37.7,37.2,36.8,37.7,38.4,37.0,33.9,32.8,34.5
GIN,GUINEA,17.5,17.5,17.7,17.5,28.5,28.8,28.7,28.5,26.0,25.6,25.2,25.2,24.2,24.0,,,,,,,,,
GMB,GAMBIA,,,,,,,,,,,,,,31.7,33.9,,,,,,,,
GNB,GUINEA-BISSAU,,,,,,,,,,,,,,,,,,,,,,,10.8
GNQ,EQUATORIAL GUINEA,,,,,,,,,,,,,,,,,,,,,,,10.5
GRC,GREECE,44.4,43.8,43.4,43.0,42.2,42.0,41.6,41.0,40.9,40.1,39.8,39.6,39.1,38.8,38.0,38.8,37.7,37.6,36.4,36.3,35.9,34.8,35.0
GRD,GRENADA,,,,,,,,,,,,,,,42.6,,42.6,,40.4,,,,
GRL,GREENLAND,,,,,,,,49.3,49.5,49.4,49.1,49.6,48.8,49.4,49.7,49.7,49.9,,,,,,
GTM,GUATEMALA,28.9,31.0,30.0,,,,,,,,31.7,,,,,,,,,,,38.4,36.8
GUM,GUAM,43.6,44.7,42.9,43.1,43.3,44.1,44.6,44.5,43.3,42.4,45.8,45.7,45.6,45.3,45.2,45.9,43.8,43.3,,,,,
GUY,GUYANA,,,,,,,,,,,34.7,,,,,38.5,,,,,,,
HKG,HONG KONG,49.6,49.6,49.5,49.6,48.6,48.2,47.9,47.8,47.3,46.8,45.9,45.5,44.8,44.1,43.7,43.3,42.6,42.5,42.2,42.0,41.6,41.5,41.2
HND,HONDURAS,,,,,,41.9,42.2,41.5,42.5,40.6,40.9,42.0,,42.4,42.4,43.2,42.6,,,,40.8,,41.4
HRV,CROATIA (LOCAL NAME: HRVATSKA),47.0,46.6,47.0,47.1,45.8,45.5,46.9,45.9,45.7,46.1,46.9,46.7,47.0,47.7,47.6,46.9,46.7,46.6,46.4,45.7,44.8,43.8,43.2
HTI,HAITI,,,,,,,,,,,,,,,,,,,,,,,44.2
HUN,HUNGARY,48.8,48.8,49.2,48.6,48.4,48.0,48.3,48.7,48.9,49.1,48.4,48.5,48.6,48.7,48.1,47.5,48.0,48.0,48.9,49.4,49.2,,
IDN,INDONESIA,,,32.9,33.5,32.4,30.9,31.3,30.3,29.0,29.5,29.7,30.7,31.7,31.1,31.3,30.0,29.6,29.0,30.1,30.3,30.4,30.1,29.2
IND,INDIA,,,19.3,19.1,,,,18.1,17.9,17.6,17.3,16.8,16.6,16.3,16.0,15.5,14.9,14.4,14.1,13.7,13.3,13.0,12.7
IRL,IRELAND,51.9,51.9,52.1,51.8,49.2,48.2,47.5,47.7,47.5,47.4,47.5,46.5,46.3,46.1,45.7,45.2,44.7,44.4,44.0,43.4,42.8,41.4,41.7
IRN,IRAN (ISLAMIC REPUBLIC OF),,,15.3,15.3,,,,16.1,13.0,12.1,12.0,11.6,13.6,14.1,15.4,14.8,,,12.0,11.6,11.2,10.8,10.5
IRQ,IRAQ,,,,,12.1,,15.3,,16.0,,,,,,,,,,,,,,
ISL,ICELAND,51.3,51.5,51.8,51.3,49.4,50.0,50.9,52.2,51.8,52.5,53.0,52.3,52.2,52.6,52.5,51.9,52.7,54.0,53.6,52.8,52.2,52.6,
ISR,ISRAEL,49.1,49.5,50.0,49.8,49.3,49.0,49.0,49.3,48.7,48.9,48.7,48.4,48.3,48.0,47.5,46.6,46.1,45.5,44.8,44.1,43.6,42.9,43.0
ITA,ITALY,45.3,44.7,44.3,43.9,43.5,43.0,42.8,42.6,42.7,41.2,40.9,40.6,39.8,39.1,38.5,38.0,37.7,37.0,36.4,36.0,36.4,36.0,35.9
JAM,JAMAICA,,,,,48.2,46.3,45.8,45.6,45.2,46.3,46.2,44.9,45.0,45.2,46.6,46.2,46.9,47.3,48.3,48.4,47.5,47.2,47.3
JOR,JORDAN,,,,,15.7,15.8,15.5,13.7,,13.9,14.9,14.1,14.4,14.2,14.0,13.8,12.2,12.0,11.7,11.5,11.3,11.0,
JPN,JAPAN,42.8,42.7,42.6,42.3,41.8,41.6,41.6,41.3,41.2,40.8,40.6,40.4,40.0,39.7,39.6,39.5,39.2,38.9,38.9,38.7,38.6,38.4,38.0
KAZ,KAZAKHSTAN,,,49.5,49.8,50.0,50.1,49.9,49.1,49.4,48.7,48.1,48.5,,,,,,,,,,,
