Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
KEN,KENYA,,,,,,,,,,,,,,,,32.2,29.4,26.6,25.5,23.0,24.2,22.2,21.4
KGZ,KYRGYZSTAN,42.0,41.9,42.5,43.1,51.5,50.8,42.8,43.3,42.9,43.6,44.5,45.6,45.8,47.7,49.0,49.2,48.5,,,,,,
KHM,CAMBODIA,,,41.1,,,,,,43.5,,,43.3,41.1,,,,,,,,,,
KIR,KIRIBATI,,,43.9,,,,,38.5,,,,,36.8,,,,,,,,,,
KOR,"KOREA, REPUBLIC OF",42.9,42.5,42.4,42.1,42.2,42.1,42.0,41.8,41.6,41.2,41.1,40.8,40.1,39.3,38.3,39.1,38.5,38.0,38.0,37.6,37.8,38.0,38.1
KWT,KUWAIT,,,,,,,,25.8,,,,,,,23.2,23.5,,,,,,,
LAO,LAOS ,,,,,,,,32.1,,,,,,,,,,,,,,,20.3
LBN,LEBANON,,,,,,32.4,,,31.3,,,,,,,,,14.2,,,,,
LBR,LIBERIA,,,24.1,,,,,,,,11.4,,,,,,,,,,,,
LBY,LIBYA,,,,,,,,,,,,15.8,,,,,,,,,,,
LCA,SAINT LUCIA,,,,,,,,,47.5,45.9,47.8,,49.4,51.3,47.6,48.5,49.2,47.4,51.8,,,,
LIE,LIECHTENSTEIN,44.2,44.4,43.8,43.7,,,,39.4,39.1,38.9,39.1,38.7,38.7,,,,,,,,,,
LKA,SRI LANKA,30.4,30.6,31.0,31.0,30.8,31.0,32.2,31.9,31.0,30.0,30.9,30.4,30.2,30.2,31.3,30.2,,,,,,,
LSO,LESOTHO,,,,,,,,,,,,,,51.0,,51.6,,,,,,,
LTU,LITHUANIA,53.7,53.6,54.4,54.3,,53.0,52.9,53.0,53.3,53.2,52.6,52.7,53.2,52.0,52.3,51.9,52.4,52.7,52.4,53.4,53.5,54.3,55.4
LUX,LUXEMBURG,44.5,43.9,44.0,43.7,43.3,43.8,43.2,42.4,41.9,40.6,,,,,,,,,,,,,
LVA,LATVIA,53.8,54.5,54.2,54.1,52.7,52.0,52.8,53.4,53.2,53.3,53.1,52.5,53.1,52.7,51.8,53.8,53.3,53.1,54.1,,51.8,,
MAC,MACAU,50.2,50.9,50.1,50.0,,48.1,48.1,49.5,49.4,49.0,50.2,48.8,48.9,48.8,47.4,46.5,46.5,45.3,45.0,43.6,44.0,42.8,42.7
MAR,MOROCCO,21.5,21.2,21.1,20.6,20.8,20.7,21.0,22.8,22.9,23.2,22.1,,,,,,,,20.9,,,,
MCO,MONACO,,,,,,,,,,,,,39.2,,,,,,,,,,
MDA,"MOLDOVA, REPUBLIC OF",54.9,54.9,55.0,54.3,54.1,54.6,53.5,54.9,54.6,54.6,53.6,52.6,52.8,52.9,,,,,,,,,
MDG,MADAGASCAR,,,35.4,,,,,37.7,,37.2,,,,,,,,,,30.8,,,
MDV,MALDIVES,,,40.5,,,,30.0,,,,,,40.6,,,,,32.4,,,,,15.8
MEX,MEXICO,40.0,39.6,39.4,39.7,39.4,39.4,39.3,39.1,37.5,36.9,37.5,37.3,37.3,36.4,36.4,36.3,36.2,36.1,,34.9,,36.5,
MHL,MARSHALL ISLANDS,,,,,,,,,,,,,,29.3,,,,,,,,,
MKD,MACEDONIA,41.9,42.4,42.2,42.2,41.9,43.0,42.6,42.6,43.2,44.1,42.2,41.9,41.6,41.3,40.3,39.5,38.7,38.5,38.5,38.8,38.5,38.2,38.3
MLI,MALI,,,,,,,,,34.6,,,,,,,27.3,,,,,,,
MLT,MALTA,39.4,37.5,37.4,36.4,35.9,35.7,34.6,33.8,33.1,33.5,34.3,31.2,32.7,31.0,30.4,29.8,29.4,28.7,28.4,,,,
MMR,MYANMAR (Burma) ,,,,,,,,,,,,,,,35.7,,35.2,33.6,,,,,30.7
MNE,MONTENEGRO,47.2,46.8,,46.3,,,,43.4,,,,44.3,44.0,43.2,42.4,42.4,41.7,40.1,39.8,38.7,,,
MNG,MONGOLIA,49.9,50.6,52.3,52.0,51.1,51.2,52.0,51.2,51.2,49.3,49.9,48.9,48.6,46.9,47.0,46.6,47.1,46.2,47.3,48.5,,,
MNP,NORTHERN MARIANA ISLANDS,,,,,,,,,,,,,,,,,,43.9,,,,,44.0
MOZ,MOZAMBIQUE,,,,,,,,,,,,,,,,,,,,,,,11.4
MRT,MAURITANIA,,,,,,,,,,,,,35.8,,,,,,,,,,
MUS,MAURITIUS,38.3,38.4,37.7,37.0,37.0,37.2,37.2,36.9,37.5,38.4,38.1,39.0,38.6,38.4,38.2,37.4,37.1,37.1,36.4,36.9,36.6,36.1,37.4
MWI,MALAWI,,,,,,,,,,,,,,,,,,11.3,10.8,10.6,10.6,10.4,10.5
MYS,MALAYSIA,38.7,38.6,39.3,39.1,39.2,39.0,38.7,38.5,38.3,37.9,37.3,37.2,37.9,35.4,35.4,34.9,35.3,35.2,,,,35.3,
NAM,NAMIBIA,42.4,44.6891139955304,48.358767402715,,47.9797744180121,,,,41.4,,,40.7,42.8,,,,,,,,,,
NCL,NEW CALEDONIA,,,,,,,,,,,,,,,,,40.9,,,,,,
NER,NIGER,,,,,36.1,30.4,27.2,25.4,,,,,,,,,,,,,,,24.7
NGA,NIGERIA,,,,,,,,21.1,21.0,20.8,20.1,19.3,18.6,19.0,,,,,,,,,
NIC,NICARAGUA,,,,,,38.1,38.6,38.3,38.6,39.5,,,,,,,,,,,,,
NLD,NETHERLANDS,48.6,48.4,48.2,47.8,47.7,47.3,46.7,46.2,45.7,45.7,45.0,44.3,43.9,43.5,43.0,42.7,42.0,41.7,41.4,41.0,40.1,38.6,37.7
NOR,NORWAY,49.1,49.3,49.3,49.4,49.1,49.2,49.3,49.0,49.2,49.1,48.9,48.3,48.2,48.3,48.1,48.0,47.8,47.7,47.7,47.8,47.5,47.5,47.0
NPL,NEPAL,,,,,,,,,,,,14.0,,15.1,,,,,,,,,
NZL,NEW ZEALAND,47.5,47.7,47.9,47.5,47.0,47.1,47.3,47.5,47.5,47.4,47.1,47.3,47.1,47.1,46.7,46.4,46.2,45.6,45.7,45.4,45.5,45.5,45.1
OMN,OMAN,,,,,21.9,,,,,,,25.3,24.5,23.4,22.6,22.0,21.9,20.9,20.2,20.9,20.3,19.2,18.7
PAK,PAKISTAN,,,,,12.6,13.2,13.4,13.9,13.9,13.6,13.6,13.0,13.0,9.9,9.8,12.2,8.8,8.8,9.5,9.5,10.2,9.5,7.7
PAN,PANAMA,43.9,44.6,42.9,42.1,42.2,43.1,42.5,43.4,43.6,44.0,43.5,43.0,43.0,42.2,41.7,43.5,42.5,42.7,42.3,42.9,43.4,,
PER,PERU,37.6,37.6,35.8,35.1,34.7,34.0,32.3,32.5,32.2,33.3,32.4,32.0,30.8,32.8,31.0,30.1,29.0,,,,,,
PHL,PHILIPPINES,41.4,41.8,42.0,41.9,41.7,41.9,41.9,41.4,40.7,41.3,41.9,41.2,40.9,40.4,40.5,39.7,38.8,40.0,40.1,40.3,40.3,40.4,
PLW,PALAU,,,,,,,,,,,,,39.6,,,,,42.2,,,,,39.5
PNG,PAPUA NEW GUINEA,,,,,,,,,,,,,32.1,,,,,,,,,,27.9
POL,POLAND,46.7,47.0,47.2,46.9,47.3,46.7,46.6,46.7,47.2,47.7,47.5,47.0,46.9,47.1,46.8,46.6,47.1,47.3,,,,,
PRI,PUERTO RICO,,,46.3,43.8,41.7,41.5,40.8,40.5,39.9,40.1,40.7,41.3,39.6,40.0,40.6,41.6,42.7,43.9,44.7,45.3,45.8,46.4,46.5
PRK,"KOREA, D.P.R.O.",,,,,,,,,,,,,,,,,,,,,,,40.7
PRT,PORTUGAL,50.3,49.6,49.0,48.7,47.6,47.6,47.3,47.3,47.4,46.9,46.4,46.2,45.7,45.7,45.3,45.7,45.8,45.9,45.1,44.7,44.5,42.9,42.5
PRY,PARAGUAY,41.1,41.8,39.3,40.1,39.5,40.2,38.7,40.1,40.0,38.9,37.7,,39.3,,,,41.9,,40.7,42.7,44.2,39.9,41.0
PSE,STATE OF PALESTINE,16.7,17.0,17.2,18.8,17.9,17.0,17.1,16.1,17.9,16.8,17.0,15.9,13.5,12.5,12.2,13.3,15.3,,,,,,
PYF,FRENCH POLYNESIA,,,45.0,44.7,,42.7,42.8,42.5,42.7,42.2,42.5,41.8,42.4,41.7,41.9,42.4,42.8,42.3,,,,,
QAT,QATAR,,,12.1,9.8,,12.3,14.6,,15.5,,,14.5,,,,14.2,,,,,,,
ROU,ROMANIA,45.6,45.7,45.8,45.7,45.8,46.1,46.6,46.2,46.5,45.3,45.2,45.7,45.5,44.8,44.0,43.5,43.0,42.0,43.0,42.2,42.5,43.0,41.9
RUS,RUSSIA,50.6,50.7,50.7,50.9,50.6,51.0,51.2,50.9,50.9,51.0,50.6,50.4,50.4,50.2,50.3,50.1,50.1,50.2,50.2,50.3,51.2,,
RWA,RWANDA,,,,,,,,,,,,,33.0,,,,,32.4,,,,,
SAU,SAUDI ARABIA,,,,14.3,14.6,14.7,14.6,,,,14.0,14.2,14.0,14.9,,,,,,,,,
SDN,SUDAN,,,,,,,,,,,,,,,,,,,,,20.1,,22.2
SEN,SENEGAL,,,,,,,,,,,,10.6,,,,,,,,,,,
SGP,SINGAPORE,,,,45.4,45.7,45.1,44.8,,44.0,43.5,43.2,43.6,,42.8,42.5,41.8,44.7,41.0,43.0,43.3,42.9,42.5,
SLB,SOLOMON ISLANDS,,,,,,,,,,,,,,30.8,,,,,,,,,
SLE,SIERRA LEONE,,,,,,,,,23.2,,,,,,,,,,,,,,
SLV,EL SALVADOR,32.7,32.7,32.8,33.2,,32.9,33.1,32.5,30.8,33.0,33.5,31.3,32.3,36.7,36.1,29.2,28.7,30.0,47.3,,46.5,46.6,45.5
SMR,SAN MARINO,,,43.4,42.9,42.2,42.2,42.1,42.1,42.2,41.9,41.7,41.5,,41.2,40.4,40.5,39.9,39.9,,40.3,40.5,40.8,40.4
SOM,SOMALIA,,,,,,,,,,,,,,,,,,,,,,,21.7
SRB,SERBIA,45.0,44.8,45.6,45.6,44.0,43.9,43.5,41.6,43.9,,,44.3,44.0,43.2,42.4,42.4,41.7,40.1,39.8,38.7,,,
STP,SAO TOME AND PRINCIPE,,,,,,,,,,,,,,,,,,,,,,32.1,
SUR,SURINAME,,,36.3,36.3,,,,,38.1,,,,,37.7,34.7,36.5,36.6,35.8,37.2,38.3,37.2,,41.0
SVK,SLOVAKIA (SLOVAK REPUBLIC),47.6,48.2,48.7,47.8,47.7,47.4,47.2,48.1,48.5,48.7,48.6,49.0,48.9,48.4,47.6,47.5,47.2,47.2,47.4,47.3,47.3,44.9,46.8
SVN,SLOVENIA,48.0,48.0,47.9,47.9,47.4,46.8,47.9,47.4,47.6,47.4,47.9,47.7,48.0,47.9,48.1,46.5,49.0,48.0,48.7,48.8,48.5,48.1,47.8
SWE,SWEDEN,50.2,49.9,49.8,50.2,49.9,50.1,50.3,50.5,50.9,50.9,50.9,50.7,50.6,50.5,50.5,50.9,51.1,51.3,51.6,52.0,51.5,50.7,50.5
SWZ,SWAZILAND,,,,,,,,,,,,,,,,32.4,33.0,33.2,34.4,35.2,,,
SYC,SEYCHELLES,,54.0,,,,,,,,,,,,,,,,,,,49.4,,
SYR,SYRIAN ARAB REPUBLIC,,15.9,15.5,15.3,15.9,16.3,,,,16.1,15.9,16.1,,,,,,,,,,15.2,
TCA,TURKS AND CAICOS ISLANDS,,,,,38.0,38.1,40.5,41.6,42.2,41.0,,,,,,,,,,,,,
TCD,CHAD,,,,,,,,,,,,,,,,,,,,,,5.5,3.8
TGO,TOGO,,,,,,,,,,,,,,,,,,,,,,,41.0
THA,THAILAND,45.4,45.8,45.4,45.5,45.4,45.0,45.1,45.4,44.0,44.5,44.2,44.3,44.1,43.9,43.5,42.4,40.8,41.3,41.9,41.8,41.5,41.9,41.9
TJK,TAJIKISTAN,,,,28.9,,,21.5,22.9,23.1,23.8,24.1,23.7,23.2,24.2,25.0,23.7,23.6,23.3,22.8,23.5,21.7,21.2,
TKM,TURKMENISTAN,,,,,,,,,,,42.1,,,,,,,39.9,,,,,
TLS,EAST TIMOR,,,,,,,,,,,,35.0,,,,,,,,,,,
TON,TONGA,,,,,,,,,,,,,,,,,35.6,,,,,,
TTO,TRINIDAD AND TOBAGO,,,46.3,45.6,,,,43.9,43.5,41.9,41.4,39.9,40.0,39.9,39.4,38.8,39.7,39.2,38.8,38.5,38.3,36.3,35.6
TUN,TUNISIA,27.7,26.5,,,,,,,,25.0,24.9,24.6,24.3,24.1,,,,,22.7,,,,
TUR,TURKEY,25.0,23.6,23.0,23.0,23.0,22.4,21.5,20.9,20.4,21.0,21.3,19.5,19.5,19.0,18.7,18.2,17.6,17.9,17.7,16.7,17.2,16.0,
TUV,TUVALU,,,,,,,,,33.9,39.1,34.3,,,,,,,,,,,,
TZA,"TANZANIA, UNITED REPUBLIC OF",,31.1,,,,,30.5,,,,,,,,,,,,,,,,
UGA,UGANDA,,,34.9,,,,,,,30.9,,,,,,,,,,,,,
UKR,UKRAINE,49.6,49.8,50.3,50.6,49.1,49.3,49.5,49.6,51.0,50.9,50.6,50.5,50.0,51.1,51.4,51.0,50.3,51.1,51.0,44.9,45.2,47.0,46.6
URY,URUGUAY,48.2,,49.3,47.9,,45.5,45.1,48.8,,48.1,45.8,46.5,46.4,,,,,,43.5,,,,42.3
USA,UNITED STATES,47.8,47.8,48.3,48.3,47.7,47.4,47.3,47.3,47.5,47.7,47.5,47.4,47.4,47.6,47.4,47.3,47.3,47.2,47.2,47.3,47.2,47.0,46.6
UZB,UZBEKISTAN,,,,,,39.4,40.3,40.3,40.6,37.0,37.1,41.6,37.1,37.2,37.2,37.1,36.9,36.0,36.5,36.5,37.1,37.0,
VEN,VENEZUELA,44.0,43.4,43.1,42.7,41.6,41.4,41.0,41.6,42.1,42.2,41.8,41.4,39.8,39.2,38.7,37.8,37.4,36.7,35.7,34.7,35.7,35.7,35.2
VIR,VIRGIN ISLANDS (U.S.),,,,,,,,,,,,,,,,,,,48.3,,,,
VNM,VIET NAM,,,,,,,,,40.4,40.1,40.8,40.7,40.7,41.9,42.2,41.0,41.0,,,,,,
VUT,VANUATU,,,,,38.9,37.8,38.3,37.9,37.5,,,,,,,,,,,,,,
WSM,SAMOA,,,,,,,,,,,,36.7,,,,,,,,,,,
YEM,YEMEN,,,11.7,10.0,,6.2,6.3,,6.0,6.1,,6.5,7.0,6.4,,,,,6.4,,,,
ZAF,SOUTH AFRICA,47.3,46.9,44.5,45.0,44.0,42.0,41.3,41.4,40.8,41.6,40.7,42.0,41.1,,,,,,,,,,
ZMB,ZAMBIA,,,,,,,,,,,,,22.0,,,,,,,,,,16.6
ZWE,ZIMBABWE,,33.9,,,,,,,,,21.9,21.5,20.4,18.9,18.6,18.0,17.7,17.2,16.8,16.2,15.2,15.6,15.4
